categoria,link
Administrativa,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Administrativa
Animações e Design,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Animações e Design
Arquitetura e Engenharia,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Arquitetura e Engenharia
Artesanato,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Artesanato
Assinaturas,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Assinaturas
Beleza e Estética,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Beleza e Estética
Combos,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Combos
Comunicação e Marketing,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Comunicação e Marketing
Concursos Públicos,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Concursos Públicos
Contábil,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Contábil 
"Culinária, Gastronomia e Confeitaria","https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Culinária, Gastronomia e Confeitaria"
Cursos Técnico - Certificação por Competência - 1 ano de Experiência,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Cursos Técnico - Certificação por Competência - 1 ano de Experiência
Cursos Técnico - Certificação por Competência - 2 anos de Experiência,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Cursos Técnico - Certificação por Competência - 2 anos de Experiência
Direito (Cursos Livres),https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Direito (Cursos Livres)
Educação (Cursos Livres),https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Educação (Cursos Livres)
EJA Semipresencial - Opção à Vista,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=EJA Semipresencial - Opção à Vista
EJA Semipresencial - Opção Boleto,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=EJA Semipresencial - Opção Boleto
Especialização - Pós Técnico,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Especialização - Pós Técnico
Financeira,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Financeira
Idiomas,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Idiomas
Indústria e Máquinas,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Indústria e Máquinas
Informática e Tecnologia,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Informática e Tecnologia
MBA,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=MBA
MBA na Área da Educação,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=MBA na Área da Educação
MBA na Área da Psicologia,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=MBA na Área da Psicologia
Meio Ambiente,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Meio Ambiente 
NRs Segurança,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=NRs Segurança    
Pós-Graduação Área da Tecnologia (TI),https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Pós-Graduação Área da Tecnologia (TI) 
Pós-Graduação em Direito,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Pós-Graduação em Direito
Pós-Graduação em Psicologia,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Pós-Graduação em Psicologia
Pós-Graduação em Saúde e Bem Estar,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Pós-Graduação em Saúde e Bem Estar
Pós-Graduação em Serviço Social,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Pós-Graduação em Serviço Social
Pós-Graduação na Área da Educação,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Pós-Graduação na Área da Educação
Pós-Graduação na Área da Engenharia,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Pós-Graduação na Área da Engenharia
Pós-Graduação ou MBA  Opção à Vista,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Pós-Graduação ou MBA  Opção à Vista
Pós-Graduação ou MBA Promocional,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Pós-Graduação ou MBA Promocional
Preparatórios,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Preparatórios
Saúde,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Saúde
Saúde Animal,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Saúde Animal
Técnicos,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Técnicos
Trânsito,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Trânsito 
Nossos Cursos,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=INFORMÁTICA
Administrativa,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Administrativa#cursos
Animações e Design,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Animações e Design#cursos
Arquitetura e Engenharia,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Arquitetura e Engenharia#cursos
Artesanato,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Artesanato#cursos
Assinaturas,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Assinaturas#cursos
Beleza e Estética,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Beleza e Estética#cursos
Combos,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Combos#cursos
Comunicação e Marketing,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Comunicação e Marketing#cursos
Concursos Públicos,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Concursos Públicos#cursos
Contábil,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Contábil #cursos
"Culinária, Gastronomia e Confeitaria","https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Culinária, Gastronomia e Confeitaria#cursos"
Cursos Técnico - Certificação por Competência - 1 ano de Experiência,https://www.apptreinamentos.com/loja_virtual/cursos.php?id=Cursos Técnico - Certificação por Competência - 1 ano de Experiência#cursos
