Categoria;Curso;CH

PÓS-GRADUAÇÕES EM DIREITO;Especialização em Arbitragem e Mediação de Conflitos;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Compliance;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Administrativo;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Aduaneiro;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Ambiental;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Civil e Processual Civil;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Constitucional;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Contratual;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito de Família e Sucessões;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Digital;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito do Trabalho e Processual Trabalhista;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito dos Novos Negócios;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Educacional;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Eleitoral;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Empresarial;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Imobiliário;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Internacional;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Notarial e Registral;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Penal e Processual Penal;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Previdenciário;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Público Constitucional, Administrativo e Tributário;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Público Licitatório;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direito Tributário e Processual Tributário;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Direitos LGBT+;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Informática Forense;560h
PÓS-GRADUAÇÕES EM DIREITO;Especialização em Segurança Pública e Política Criminal (Criminologia);560h

PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Análises Clínicas e Diagnóstico Laboratorial;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Atenção e Cuidados com Idosos;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Atendimento na Unidade Básica de Saúde;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Atendimento na Unidade Básica de Saúde - Enfermagem;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Atendimento na Unidade Básica de Saúde - Farmácia;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Atendimento na Unidade Básica de Saúde - Nutrição;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Cuidados Básicos em Hospitais Municipais;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Enfermagem do Trabalho;560h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Enfermagem do Trabalho e Saúde Ocupacional;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Enfermagem Oncológica;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Estética e Cosmetologia;400h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Farmacologia Clínica;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Fisioterapia aplicada às atividades Físicas;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Fisioterapia em Geriatria e Gerontologia;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Fitoterapia e Suplementação Nutricional;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Nutrição Clínica;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Nutrição e Dietética;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Nutrição Esportiva;800h
PÓS-GRADUAÇÕES EM SAÚDE;Especialização em Segurança do Paciente e Gestão dos Riscos Assistenciais;800h

PÓS-GRADUAÇÕES EM PSICOLOGIA;Especialização em Avaliação Psicológica e Psicodiagnóstico;560h
PÓS-GRADUAÇÕES EM PSICOLOGIA;Especialização em Neuropsicopedagogia;560h
PÓS-GRADUAÇÕES EM PSICOLOGIA;Especialização em Neuropsicopedagogia Clínica e Institucional;720h
PÓS-GRADUAÇÕES EM PSICOLOGIA;Especialização em Psicologia Hospitalar;560h

PÓS-GRADUAÇÕES EM ENGENHARIA;Especialização em Engenharia de Produção;560h
